OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
85411,86377,FS-311193,FED,FS-FIRESTAT,FS,USAZCOF,Coconino National Forest,0304,Coconino National Forest,235,,,HIKE,,,,,,1996,2450273.5,191,0900,1.0,Lightning,2450273.5,191.0,1400,0.5,B,34.57166667,-111.38333333,5.0,USFS,AZ,,,,"b'\x00\x01\xad\x10\x00\x00D\xf4\x84\x88\x88\xd8[\xc0\x88\xee\x99_,IA@D\xf4\x84\x88\x88\xd8[\xc0\x88\xee\x99_,IA@|\x01\x00\x00\x00D\xf4\x84\x88\x88\xd8[\xc0\x88\xee\x99_,IA@\xfe'"
578316,624758,SFO-SC02180707-7WF0854,NONFED,ST-NASF,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS,South Carolina Forestry Commission,,,,,,,,,,2007,2454215.5,115,,5.0,Debris Burning,,,,10.0,C,33.73980998,-81.56278998,14.0,MISSING/NOT SPECIFIED,SC,Aiken,003,Aiken,b'\x00\x01\xad\x10\x00\x00p\xa7C\xc0\x04dT\xc0h\xad\xea\x17\xb2\xde@@p\xa7C\xc0\x04dT\xc0h\xad\xea\x17\xb2\xde@@|\x01\x00\x00\x00p\xa7C\xc0\x04dT\xc0h\xad\xea\x17\xb2\xde@@\xfe'
987384,1116277,TFS_FL_75679,NONFED,ST-FLFLS,ST/C&L,USFLFLS,Florida Forest Service,FLFLS12,FLS Orlando District,,0004,,,,,,,,2002,2452298.5,24,,8.0,Children,,,,0.5,B,28.5608,-81.3022,14.0,MISSING/NOT SPECIFIED,FL,Orange,095,Orange,b'\x00\x01\xad\x10\x00\x00x6\xab>WST\xc0\xd0\x98\xbb\x96\x90\x8f<@x6\xab>WST\xc0\xd0\x98\xbb\x96\x90\x8f<@|\x01\x00\x00\x00x6\xab>WST\xc0\xd0\x98\xbb\x96\x90\x8f<@\xfe'
1665764,201827505,SFO-2013NY2401NY2401-2013-0481750,NONFED,ST-NASF,ST/C&L,USNYNYX,Fire Department of New York,NY2401,Fire Department of New York,,NY2401-2013-0481750,,,,,,,,2013,2456466.5,174,2202,1.0,Lightning,2456466.5,174.0,2212,0.1,A,40.8161,-73.8695,14.0,MISSING/NOT SPECIFIED,NY,BRONX,005,Bronx,"b'\x00\x01\xad\x10\x00\x00\xcc\xf7S\xe3\xa5wR\xc0\x08""\xfd\xf6uhD@\xcc\xf7S\xe3\xa5wR\xc0\x08""\xfd\xf6uhD@|\x01\x00\x00\x00\xcc\xf7S\xe3\xa5wR\xc0\x08""\xfd\xf6uhD@\xfe'"
1691334,201861472,TFS-TXFD2013-466804,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Beckville VFD,,466804,,2013-0065,,,,,,2013,2456478.5,186,,9.0,Miscellaneous,,,,1.0,B,32.291231,-94.349384,8.0,PRIVATE,TX,Panola,365,Panola,b'\x00\x01\xad\x10\x00\x00\xb8o\xb5N\\\x96W\xc0pJ\xb2\x0eG%@@\xb8o\xb5N\\\x96W\xc0pJ\xb2\x0eG%@@|\x01\x00\x00\x00\xb8o\xb5N\\\x96W\xc0pJ\xb2\x0eG%@@\xfe'
760514,862269,WA_647,NONFED,ST-WAWAS,ST/C&L,USWAWAS,Washington State Headquarters,WAWAS,Washington State Headquarters,,,,I-5 MILE 91,,,,,,2004,2453206.5,202,,9.0,Miscellaneous,,,,0.5,B,46.7434,-123.0012,11.0,COUNTY,WA,Thurston County,067,Thurston,"b""\x00\x01\xad\x10\x00\x00T0*\xa9\x13\xc0^\xc0`\xec/\xbb'_G@T0*\xa9\x13\xc0^\xc0`\xec/\xbb'_G@|\x01\x00\x00\x00T0*\xa9\x13\xc0^\xc0`\xec/\xbb'_G@\xfe"""
1176772,1427912,FS-1485140,FED,FS-FIRESTAT,FS,USWVMOF,Monongahela National Forest,0921,Monongahela National Forest,010,,EK3R,DAY RUN #3,,,,,,2010,2455290.5,94,1330,4.0,Campfire,2455290.5,94.0,1349,0.1,A,38.2897222,-80.2077778,5.0,USFS,WV,075,075,Pocahontas,b'\x00\x01\xad\x10\x00\x00l\xf5A;L\rT\xc0p\xf6\xf6\x9d\x15%C@l\xf5A;L\rT\xc0p\xf6\xf6\x9d\x15%C@|\x01\x00\x00\x00l\xf5A;L\rT\xc0p\xf6\xf6\x9d\x15%C@\xfe'
1785336,300144130,SFO-2014OHDNR62-73129-MA-70-04/26/2014,NONFED,ST-NASF,ST/C&L,USOHOHS,Ohio Department of Natural Resources,OHDNR,Ohio Department of Natural Resources,,62-73129-MA-70-04/26/2014,,,,,,,,2014,2456773.5,116,,9.0,Miscellaneous,,,,85.0,C,38.609339,-82.779018,8.0,PRIVATE,OH,SCIOTO,145,Scioto,b'\x00\x01\xad\x10\x00\x00\xb0?Pn\xdb\xb1T\xc0\xb8\x96\x02\xd2\xfeMC@\xb0?Pn\xdb\xb1T\xc0\xb8\x96\x02\xd2\xfeMC@|\x01\x00\x00\x00\xb0?Pn\xdb\xb1T\xc0\xb8\x96\x02\xd2\xfeMC@\xfe'
1483383,201153306,2011WIDNR840906711,NONFED,ST-NASF,ST/C&L,USWIWIS,Wisconsin Department of Natural Resources,WIDNR,Wisconsin Department of Natural Resources,,840906711,,1027 SHISHEBOGAMA,,,,,,2011,2455714.5,153,1241,11.0,Powerline,2455714.5,153.0,1430,0.23,A,45.89931,-89.8039,8.0,PRIVATE,WI,Vilas,125,Vilas,b'\x00\x01\xad\x10\x00\x00DP\xfc\x18ssV\xc0\xa8{\x0f\x97\x1c\xf3F@DP\xfc\x18ssV\xc0\xa8{\x0f\x97\x1c\xf3F@|\x01\x00\x00\x00DP\xfc\x18ssV\xc0\xa8{\x0f\x97\x1c\xf3F@\xfe'
1074607,1310351,CDF_2002_56_2232_008867      ,NONFED,ST-CACDF,ST/C&L,USCAMMU,Merced-Mariposa Unit,CAMMU,CDF - Merced-Mariposa Unit,,008867      ,,BUTTS                    ,,,,,,2002,2452427.5,153,,2.0,Equipment Use,,,,5.0,B,37.15194444,-121.11388888,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00\x98\xbe\x95\xf4IG^\xc0\x00NX\xear\x93B@\x98\xbe\x95\xf4IG^\xc0\x00NX\xear\x93B@|\x01\x00\x00\x00\x98\xbe\x95\xf4IG^\xc0\x00NX\xear\x93B@\xfe'
964127,1092424,TFS_FL_42777,NONFED,ST-FLFLS,ST/C&L,USFLFLS,Florida Forest Service,FLFLS2,FLS Chipola Forestry Center,,0366,,,,,,,,1993,2449288.5,301,,6.0,Railroad,,,,20.0,C,29.93,-85.33,14.0,MISSING/NOT SPECIFIED,FL,Gulf,045,Gulf,b'\x00\x01\xad\x10\x00\x00\x84\xebQ\xb8\x1eUU\xc0\xc0G\xe1z\x14\xee=@\x84\xebQ\xb8\x1eUU\xc0\xc0G\xe1z\x14\xee=@|\x01\x00\x00\x00\x84\xebQ\xb8\x1eUU\xc0\xc0G\xe1z\x14\xee=@\xfe'
629560,679342,SFO-TX02240706-45480,NONFED,ST-NASF,ST/C&L,USTXTXS,Texas A & M Forest Service,TXTXS,Texas Forest Service,,,,,,,,,,2006,2453841.5,106,,5.0,Debris Burning,,,,1.0,B,32.31615999,-98.16700997,14.0,MISSING/NOT SPECIFIED,TX,Erath,143,Erath,b'\x00\x01\xad\x10\x00\x00`\xd0\x95J\xb0\x8aX\xc0P\xad8\xeew(@@`\xd0\x95J\xb0\x8aX\xc0P\xad8\xeew(@@|\x01\x00\x00\x00`\xd0\x95J\xb0\x8aX\xc0P\xad8\xeew(@@\xfe'
1587921,201605160,SFO-SC-2012-12FF0830,NONFED,ST-NASF,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS,South Carolina Forestry Commission,,12FF0830,,,,,,,,2012,2455982.5,56,1448,2.0,Equipment Use,2455982.5,56.0,1544,5.0,B,33.96616,-78.779892,8.0,PRIVATE,SC,Horry County,051,Horry,"b'\x00\x01\xad\x10\x00\x00\\\x9a""\xc0\xe9\xb1S\xc0\x10Z\x81!\xab\xfb@@\\\x9a""\xc0\xe9\xb1S\xc0\x10Z\x81!\xab\xfb@@|\x01\x00\x00\x00\\\x9a""\xc0\xe9\xb1S\xc0\x10Z\x81!\xab\xfb@@\xfe'"
1767394,300111331,SFO-2014TXLFDX496799,NONFED,ST-NASF,ST/C&L,USTXTXS,Texas A & M Forest Service,TXLFDX,Local Fire Department,,496799,,UNION PACIFIC 1,,,,,,2014,2456710.5,53,,6.0,Railroad,,,,1.0,B,32.385972,-99.035706,14.0,MISSING/NOT SPECIFIED,TX,Eastland,133,Eastland,b'\x00\x01\xad\x10\x00\x00T\x91\xd1\x01I\xc2X\xc0\x00\x96\xce\x87g1@@T\x91\xd1\x01I\xc2X\xc0\x00\x96\xce\x87g1@@|\x01\x00\x00\x00T\x91\xd1\x01I\xc2X\xc0\x00\x96\xce\x87g1@@\xfe'
1618092,201652759,SFO-NC-2012-NCST-040-20120022,NONFED,ST-NASF,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS,North Carolina State Division of Forest Resouces,,NCST-040-20120022,,POWERLINE,,,,,,2012,2456145.5,219,1528,9.0,Miscellaneous,2456145.5,219.0,1540,0.1,A,35.50009639,-77.76679472,14.0,MISSING/NOT SPECIFIED,NC,Greene,079,Greene,b'\x00\x01\xad\x10\x00\x00LI)*\x13qS\xc0\xf0\xf2\x93(\x03\xc0A@LI)*\x13qS\xc0\xf0\xf2\x93(\x03\xc0A@|\x01\x00\x00\x00LI)*\x13qS\xc0\xf0\xf2\x93(\x03\xc0A@\xfe'
745983,845512,SC_24530,NONFED,ST-SCSCS,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS,South Carolina Forestry Commission,,,,,,,,,,1992,2448657.5,36,,13.0,Missing/Undefined,2448657.5,36.0,,5.0,B,33.875,-81.37916667,14.0,MISSING/NOT SPECIFIED,SC,32,063,Lexington,b'\x00\x01\xad\x10\x00\x00\x84\xd8GDDXT\xc0\x08\x00\x00\x00\x00\xf0@@\x84\xd8GDDXT\xc0\x08\x00\x00\x00\x00\xf0@@|\x01\x00\x00\x00\x84\xd8GDDXT\xc0\x08\x00\x00\x00\x00\xf0@@\xfe'
1479729,201148120,2011CACDFBDU009498,NONFED,ST-NASF,ST/C&L,USCABDU,San Bernardino Unit,CABDU,CDF - San Bernardino Unit,,BDU009498,,CLOVIS RD / MONO RD,,,,,,2011,2455795.5,234,1518,13.0,Missing/Undefined,,,,2.0,B,34.449947,-117.574942,14.0,MISSING/NOT SPECIFIED,CA,SAN BERNARDINO,071,San Bernardino,b'\x00\x01\xad\x10\x00\x000\xc6\x87\xd9\xcbd]\xc0\x80\xf7\x00\xdd\x979A@0\xc6\x87\xd9\xcbd]\xc0\x80\xf7\x00\xdd\x979A@|\x01\x00\x00\x000\xc6\x87\xd9\xcbd]\xc0\x80\xf7\x00\xdd\x979A@\xfe'
698715,776510,MSARCH_20470,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MSMSS,Mississippi Forestry Commission,,,,,,,,,,1992,2448695.5,74,1445,7.0,Arson,2448695.5,74.0,1550,5.0,B,33.16219792,-89.1299613,14.0,MISSING/NOT SPECIFIED,MS,Winston,159,Winston,b'\x00\x01\xad\x10\x00\x00\xb8O3IQHV\xc0\x90\xf0\xc4\xe6\xc2\x94@@\xb8O3IQHV\xc0\x90\xf0\xc4\xe6\xc2\x94@@|\x01\x00\x00\x00\xb8O3IQHV\xc0\x90\xf0\xc4\xe6\xc2\x94@@\xfe'
822474,930060,STATE_MS_70091,NONFED,ST-MSMSS,ST/C&L,USMSMSS,Mississippi Forestry Commission,MS Southeast,MSS Southeast District,,2-4183,,,,,,,,2007,2454242.5,142,,7.0,Arson,,,,1.0,B,31.0494,-89.2203,14.0,MISSING/NOT SPECIFIED,MS,,,,b'\x00\x01\xad\x10\x00\x00\xc0\xd3+e\x19NV\xc00lxz\xa5\x0c?@\xc0\xd3+e\x19NV\xc00lxz\xa5\x0c?@|\x01\x00\x00\x00\xc0\xd3+e\x19NV\xc00lxz\xa5\x0c?@\xfe'
23739,23851,FS-1454920,FED,FS-FIRESTAT,FS,USINHOF,Hoosier National Forest,0912,Hoosier National Forest,13,006,C67S,LIVE FIRE,,,,,,2007,2454363.5,263,1545,9.0,Miscellaneous,2454363.5,263.0,1800,1.5,B,38.32138889,-86.50027778,13.0,STATE OR PRIVATE,IN,25,025,Crawford,b'\x00\x01\xad\x10\x00\x00\xfc\x00\x18\x8d\x04\xa0U\xc0\x88\xeciE#)C@\xfc\x00\x18\x8d\x04\xa0U\xc0\x88\xeciE#)C@|\x01\x00\x00\x00\xfc\x00\x18\x8d\x04\xa0U\xc0\x88\xeciE#)C@\xfe'
48611,48938,FS-268233,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,0513,Sequoia National Forest,105,,,PINE,,,,,,1992,2448843.5,222,1930,8.0,Children,2448843.5,222.0,1932,0.1,A,36.79,-118.925,5.0,USFS,CA,,,,b'\x00\x01\xad\x10\x00\x0003333\xbb]\xc0\x90\xebQ\xb8\x1eeB@03333\xbb]\xc0\x90\xebQ\xb8\x1eeB@|\x01\x00\x00\x0003333\xbb]\xc0\x90\xebQ\xb8\x1eeB@\xfe'
786147,891530,SCHMIDT_29009516,NONFED,ST-MOMOS,ST/C&L,USMOMOS,Missouri Department of Conservation,MOMOS,Missouri Department of Conservation,,,,,,,,,,1994,2449396.5,44,1505,5.0,Debris Burning,,,,1.0,B,37.92131441,-92.19663301,14.0,MISSING/NOT SPECIFIED,MO,Pulaski,169,Pulaski,b'\x00\x01\xad\x10\x00\x00\xe4\xd0\x9e\xa2\x95\x0cW\xc0P$n\xa1\xed\xf5B@\xe4\xd0\x9e\xa2\x95\x0cW\xc0P$n\xa1\xed\xf5B@|\x01\x00\x00\x00\xe4\xd0\x9e\xa2\x95\x0cW\xc0P$n\xa1\xed\xf5B@\xfe'
1574586,201503467,W-634404,FED,DOI-WFMI,BIA,USMNRLA,Red Lake Agency,MNRLA,Red Lake Agency,67,,GPR5,RED LAKE 067,,,,,,2012,2455999.5,73,1415,8.0,Children,2455999.5,73.0,1415,0.5,B,48.0211,-94.9167,2.0,BIA,MN,,,,b'\x00\x01\xad\x10\x00\x00\x90\x0fz6\xab\xbaW\xc0\x10\xf9\xa0g\xb3\x02H@\x90\x0fz6\xab\xbaW\xc0\x10\xf9\xa0g\xb3\x02H@|\x01\x00\x00\x00\x90\x0fz6\xab\xbaW\xc0\x10\xf9\xa0g\xb3\x02H@\xfe'
296126,301697,W-397094,FED,DOI-WFMI,BIA,USAZCRA,Colorado River Agency,AZCRA,Colorado River Agency,31,,,SLIDE,,,,,,2001,2452253.5,344,0830,5.0,Debris Burning,2452253.5,344.0,0930,1.0,B,34.0378,-114.4344,2.0,BIA,AZ,,,,b'\x00\x01\xad\x10\x00\x00xX\xa85\xcd\x9b\\\xc0\x00\xe5a\xa1\xd6\x04A@xX\xa85\xcd\x9b\\\xc0\x00\xe5a\xa1\xd6\x04A@|\x01\x00\x00\x00xX\xa85\xcd\x9b\\\xc0\x00\xe5a\xa1\xd6\x04A@\xfe'
1560689,201419176,TFS-TXFD2011-342426,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Cameron Gardens VFD,,342426,,COLEMAN RD.,,,,,,2011,2455803.5,242,,9.0,Miscellaneous,,,,30.0,C,33.9637845,-98.6754725,13.0,STATE OR PRIVATE,TX,Wichita,485,Wichita,b'\x00\x01\xad\x10\x00\x0086\x02\xf1:\xabX\xc0(\xf2]J]\xfb@@86\x02\xf1:\xabX\xc0(\xf2]J]\xfb@@|\x01\x00\x00\x0086\x02\xf1:\xabX\xc0(\xf2]J]\xfb@@\xfe'
577518,623949,SFO-SC02180707-7FF1037,NONFED,ST-NASF,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS,South Carolina Forestry Commission,,,,,,,,,,2007,2454197.5,97,,7.0,Arson,,,,0.5,B,34.35000002,-79.36666997,14.0,MISSING/NOT SPECIFIED,SC,Dillon,033,Dillon,"b'\x00\x01\xad\x10\x00\x00\xd0dR\x85w\xd7S\xc0\xf0\xbf\xf7\xcc\xcc,A@\xd0dR\x85w\xd7S\xc0\xf0\xbf\xf7\xcc\xcc,A@|\x01\x00\x00\x00\xd0dR\x85w\xd7S\xc0\xf0\xbf\xf7\xcc\xcc,A@\xfe'"
806274,913030,ODF-77433,NONFED,ST-ORORS,ST/C&L,USOR723S,Gold Beach Unit,ORODF-723,Gold Beach Unit,065,77433,,MIDDLE FORK SIXES,,,,,,2007,2454272.5,172,,2.0,Equipment Use,2454272.5,172.0,,0.01,A,42.78611,-124.19722,8.0,PRIVATE,OR,8,015,Curry,b'\x00\x01\xad\x10\x00\x00|\x87\xa2@\x9f\x0c_\xc0\x88\x87\xa2@\x9fdE@|\x87\xa2@\x9f\x0c_\xc0\x88\x87\xa2@\x9fdE@|\x01\x00\x00\x00|\x87\xa2@\x9f\x0c_\xc0\x88\x87\xa2@\x9fdE@\xfe'
1863981,300299126,HIWMO-OA5517,INTERAGCY,IA-HIWMO,ST/C&L,USHICNTY,Hawaii Counties,HICNTY,Honolulu Fire Dept,,,,,,,,,,2003,2452640.5,1,,13.0,Missing/Undefined,,,,0.2,A,21.3887901,-157.9150391,14.0,MISSING/NOT SPECIFIED,HI,Oahu,003,Honolulu,b'\x00\x01\xad\x10\x00\x00\xf5!\x14\x00H\xbdc\xc0@\x82|\xbf\x87c5@\xf5!\x14\x00H\xbdc\xc0@\x82|\xbf\x87c5@|\x01\x00\x00\x00\xf5!\x14\x00H\xbdc\xc0@\x82|\xbf\x87c5@\xfe'
806336,913098,ODF-77976,NONFED,ST-ORORS,ST/C&L,USOR730S,Douglas Forest Protective Association,ORODF-732,Douglas South,027,77976,,LEE'S CREEK,,,,,,2007,2454293.5,193,,1.0,Lightning,2454293.5,193.0,,0.01,A,43.1425,-123.16056,8.0,PRIVATE,OR,10,019,Douglas,b'\x00\x01\xad\x10\x00\x00\xecBs\x9dF\xca^\xc0\x10\xd7\xa3p=\x92E@\xecBs\x9dF\xca^\xc0\x10\xd7\xa3p=\x92E@|\x01\x00\x00\x00\xecBs\x9dF\xca^\xc0\x10\xd7\xa3p=\x92E@\xfe'
1095159,1333969,CDF_1992_53_2211_10280       ,NONFED,ST-CACDF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,10280       ,,SHERWOOD                 ,,,,,,1992,2448876.5,255,,4.0,Campfire,,,,0.1,A,38.23694444,-122.30694444,14.0,MISSING/NOT SPECIFIED,CA,,,,b'\x00\x01\xad\x10\x00\x00L\xdfJ\xfa\xa4\x93^\xc0xb\x062T\x1eC@L\xdfJ\xfa\xa4\x93^\xc0xb\x062T\x1eC@|\x01\x00\x00\x00L\xdfJ\xfa\xa4\x93^\xc0xb\x062T\x1eC@\xfe'
