question,columns
"What is the total number of incidents reported by each owner entity, state, and source reporting unit?","['OWNER_DESCR', 'STATE', 'SOURCE_REPORTING_UNIT_NAME']"
"How many unique fire names are there in the dataset for each state, county, and source system?","['STATE', 'COUNTY', 'SOURCE_SYSTEM', 'FIRE_NAME']"
What is the average fire size for each fire class in each state and county?,"['STATE', 'COUNTY', 'FIRE_SIZE_CLASS', 'FIRE_SIZE']"
"What is the average fire size for each fire cause in each state, county, and source reporting unit?","['STATE', 'COUNTY', 'SOURCE_REPORTING_UNIT_NAME', 'STAT_CAUSE_DESCR', 'FIRE_SIZE']"
What is the average fire size for each fire cause in each state and county?,"['STATE', 'COUNTY', 'STAT_CAUSE_DESCR', 'FIRE_SIZE']"
"How does the distribution of fire causes vary across different NWCG reporting agencies, source systems, and fire size classes?","['NWCG_REPORTING_AGENCY', 'SOURCE_SYSTEM', 'FIRE_SIZE_CLASS', 'STAT_CAUSE_DESCR']"
"What is the total number of incidents reported by each state, county, and owner entity?","['STATE', 'COUNTY', 'OWNER_DESCR']"
What is the average fire size for each fire class in each state and source reporting unit?,"['STATE', 'SOURCE_REPORTING_UNIT_NAME', 'FIRE_SIZE_CLASS', 'FIRE_SIZE']"
"How many incidents were reported in each year, state, and fire size class?","['FIRE_YEAR', 'STATE', 'FIRE_SIZE_CLASS']"
"What is the distribution of fire causes within each county, source system type, and fire size class?","['COUNTY', 'SOURCE_SYSTEM_TYPE', 'FIRE_SIZE_CLASS', 'STAT_CAUSE_DESCR']"
"What is the total number of incidents reported by each owner entity, state, and fire cause?","['OWNER_DESCR', 'STATE', 'STAT_CAUSE_DESCR']"
"How many unique fire names are there in the dataset for each state, county, and source system type?","['STATE', 'COUNTY', 'SOURCE_SYSTEM_TYPE', 'FIRE_NAME']"
"What is the average fire size for each fire class in each state, county, and source reporting unit?","['STATE', 'COUNTY', 'SOURCE_REPORTING_UNIT_NAME', 'FIRE_SIZE_CLASS', 'FIRE_SIZE']"
"What is the average fire size for each fire cause in each state, county, and year?","['STATE', 'COUNTY', 'FIRE_YEAR', 'STAT_CAUSE_DESCR', 'FIRE_SIZE']"
"How does the distribution of fire causes vary across different NWCG reporting agencies, source systems, and years?","['NWCG_REPORTING_AGENCY', 'SOURCE_SYSTEM', 'FIRE_YEAR', 'STAT_CAUSE_DESCR']"
"What is the total number of incidents reported by each state, county, and source reporting unit?","['STATE', 'COUNTY', 'SOURCE_REPORTING_UNIT_NAME']"
"What is the average fire size for each fire class in each state, county, and owner entity?","['STATE', 'COUNTY', 'OWNER_DESCR', 'FIRE_SIZE_CLASS', 'FIRE_SIZE']"
"How many incidents were reported in each month, state, and fire size class?","['DISCOVERY_DATE', 'STATE', 'FIRE_SIZE_CLASS']"
"What is the distribution of fire causes within each county, source system, and year?","['COUNTY', 'SOURCE_SYSTEM', 'FIRE_YEAR', 'STAT_CAUSE_DESCR']"
"What is the total number of incidents reported by each state, county, and source system?","['STATE', 'COUNTY', 'SOURCE_SYSTEM']"
"What is the average fire size for each fire class in each state, county, and fire cause?","['STATE', 'COUNTY', 'STAT_CAUSE_DESCR', 'FIRE_SIZE_CLASS', 'FIRE_SIZE']"
"How does the distribution of fire causes vary across different NWCG reporting agencies, source systems, and counties?","['NWCG_REPORTING_AGENCY', 'SOURCE_SYSTEM', 'COUNTY', 'STAT_CAUSE_DESCR']"
"What is the total number of incidents reported by each state, county, and fire size class?","['STATE', 'COUNTY', 'FIRE_SIZE_CLASS']"
"What is the average fire size for each fire cause in each state, county, and source system?","['STATE', 'COUNTY', 'SOURCE_SYSTEM', 'STAT_CAUSE_DESCR', 'FIRE_SIZE']"
